615, 13665222, 8460322, 9578256, 9995699, 9828781, 8257764, 12058414, 13382039, 13184532, 12318537, 10679227, 8613139, 8141843, 12259377, 11211190, 9868350, 10005018, 10721540, 11542300
620, 8821487, 12226685, 9746946, 12935630, 8505438, 11978985, 14260607, 12749837, 14503958, 11784305, 9513752, 9660550, 10327650, 11182282, 11029535, 10871737, 9518340, 10720020, 10167415
625, 11075086, 10464778, 10629581, 9650087, 12633476, 11491223, 12021653, 12126380, 14140199, 10082014, 9128782, 9997739, 12750116, 9898456, 11593087, 10291883, 9689562, 10753397, 8618009
630, 9182358, 9878533, 10607614, 9755806, 12530016, 8917520, 9744014, 9247860, 17100153, 14844898, 10146656, 10752147, 8878560, 10400645, 12591337, 10990886, 10801921, 13337532, 13692794
635, 11464568, 11081396, 10401816, 14109749, 10970864, 10462409, 14057788, 11985927, 10897698, 12777494, 14060271, 13065350, 9139257, 10250212, 12065155, 10893921, 9011156, 12816397, 9428830
640, 14402678, 10948410, 10909776, 9173736, 11317193, 10283598, 8987390, 15234495, 14749661, 11140394, 11554062, 8880875, 11595249, 13143803, 11901610, 8366127, 11928863, 10237349, 8262155
645, 10360065, 9923220, 10664999, 13068365, 8009570, 14722390, 13704253, 15333066, 12974933, 11652527, 12173498, 11868607, 10294026, 13116743, 13118167, 11356775, 12282021, 9402786, 11624599
650, 12433272, 12119798, 9270277, 9359170, 8774006, 11338396, 14198400, 12385432, 13204927, 10528413, 10986156, 12300730, 11355189, 9528778, 9728600, 11213033, 12374122, 13443332, 10657796
655, 11909739, 13584421, 8844509, 9672011, 12285758, 14099088, 12860757, 14374627, 10991395, 12419184, 12223437, 8907441, 12975315, 10110154, 10810630, 19502775, 12640377, 10601085, 13782614
660, 9407716, 12836146, 11401784, 10642854, 16187788, 15844508, 16278093, 15657136, 16262330, 23363421, 18097227, 18465674, 21665675, 54033296, 30874150, 17184836, 14901091, 14893442, 16419574
665, 9418523, 11031305, 9080887, 11366604, 15522190, 16203344, 17660849, 14952613, 14788379, 11758242, 11444627, 13255182, 11143413, 12549385, 12912180, 12738307, 12360083, 9943815, 10959546
