cmapSize, cmapNo, bufferSize, decayFactor, rebuildThreshold, ed, mem
10, 5, 120, 0.2, 0.7, 0.2713090209258545, 1992
10, 5, 120, 0.5, 0.01, 0.060964008853031576, 4872
10, 5, 120, 0.5, 0.09, 0.07097021683879026, 4872
10, 5, 120, 0.5, 0.3, 0.07097021683879026, 4872
10, 5, 120, 0.5, 0.5, 0.2713090209258545, 3912
10, 5, 120, 0.5, 0.7, 0.2713090209258545, 1992
10, 5, 120, 1.0, 0.01, 0.05955827519341287, 4872
10, 5, 120, 1.0, 0.09, 0.053391505050350244, 4872
10, 5, 120, 1.0, 0.3, 0.053391505050350244, 4872
10, 5, 120, 1.0, 0.5, 0.2713090209258545, 3912
10, 5, 120, 1.0, 0.7, 0.2713090209258545, 1992
10, 5, 120, 2.0, 0.01, 0.021589935838497724, 4872
10, 5, 120, 2.0, 0.09, 0.029617197699394596, 4872
10, 5, 120, 2.0, 0.3, 0.029617197699394596, 4872
10, 5, 120, 2.0, 0.5, 0.2713090209258545, 3912
10, 5, 120, 2.0, 0.7, 0.2713090209258545, 1992
10, 5, 120, 2.5, 0.01, 0.02030138191705231, 4872
10, 5, 120, 2.5, 0.09, 0.0226820404791724, 4872
10, 5, 120, 2.5, 0.3, 0.0226820404791724, 4872
10, 5, 120, 2.5, 0.5, 0.2713090209258545, 3912
10, 5, 120, 2.5, 0.7, 0.2713090209258545, 1992
10, 5, 150, 0.2, 0.01, 0.055191288105646975, 4872
10, 5, 150, 0.2, 0.09, 0.08222609230428281, 4872
10, 5, 150, 0.2, 0.3, 0.08222609230428281, 4872
10, 5, 150, 0.2, 0.5, 0.2713090209258545, 2952
10, 5, 150, 0.2, 0.7, 0.2713090209258545, 1992
10, 5, 150, 0.5, 0.01, 0.05296509891160425, 4872
10, 5, 150, 0.5, 0.09, 0.06822626130278632, 4872
10, 5, 150, 0.5, 0.3, 0.06822626130278632, 4872
10, 5, 150, 0.5, 0.5, 0.2713090209258545, 2952
10, 5, 150, 0.5, 0.7, 0.2713090209258545, 1992
10, 5, 150, 1.0, 0.01, 0.02962490231934413, 4872
10, 5, 150, 1.0, 0.09, 0.051615633834601195, 4872
10, 5, 150, 1.0, 0.3, 0.051615633834601195, 4872
10, 5, 150, 1.0, 0.5, 0.2713090209258545, 2952
10, 5, 150, 1.0, 0.7, 0.2713090209258545, 1992
10, 5, 150, 2.0, 0.01, 0.02256764725015119, 4872
10, 5, 150, 2.0, 0.09, 0.02874626165744813, 4872
10, 5, 150, 2.0, 0.3, 0.02874626165744813, 4872
10, 5, 150, 2.0, 0.5, 0.2713090209258545, 2952
10, 5, 150, 2.0, 0.7, 0.2713090209258545, 1992
10, 5, 150, 2.5, 0.01, 0.01934901486360647, 4872
10, 5, 150, 2.5, 0.09, 0.022305593210353022, 4872
10, 5, 150, 2.5, 0.3, 0.022305593210353022, 4872
10, 5, 150, 2.5, 0.5, 0.2713090209258545, 2952
10, 5, 150, 2.5, 0.7, 0.2713090209258545, 1992
10, 10, 10, 0.2, 0.01, 0.12027776393960996, 9672
10, 10, 10, 0.2, 0.09, 0.12162743602937229, 9672
10, 10, 10, 0.2, 0.3, 0.12082759244417474, 9672
10, 10, 10, 0.2, 0.5, 0.2713090209258545, 6792
10, 10, 10, 0.2, 0.7, 0.2713090209258545, 4872
10, 10, 10, 0.5, 0.01, 0.1149244383586308, 9672
10, 10, 10, 0.5, 0.09, 0.1139212258846322, 9672
10, 10, 10, 0.5, 0.3, 0.12437007112615074, 9672
10, 10, 10, 0.5, 0.5, 0.2713090209258545, 6792
